                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     2.58000 solar
                                             L    =    74.00000 solar
                                             R    =     3.05109 solar
                                             Teff =  9700.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  2.122E+09  0.000E+00  0.000E+00  2.841E+28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  2.120E+09  8.799E-03  3.553E-14  2.841E+28  2.839E+03  7.408E-02  1.518E-09  5.462E+00  1.906-112  r  1.0
    2  2.120E+09  1.835E-02  6.029E-14  2.841E+28  7.674E+03  2.469E-01  2.499E-09  2.830E-01  2.890E-83  c  1.2
    3  2.118E+09  2.529E-02  1.582E-13  2.841E+28  1.010E+04  9.288E-01  8.431E-09  6.923E-01  9.910E-83  r 99.9
    4  2.116E+09  3.224E-02  4.072E-13  2.841E+28  1.012E+04  2.671E+00  4.092E-09  1.741E-01  1.445E-76  r 99.9
    5  2.114E+09  3.328E-02  4.651E-13  2.841E+28  1.012E+04  3.077E+00  2.221E-09  1.199E-01  7.862E-77  r 99.9
    6  2.111E+09  3.703E-02  5.922E-13  2.841E+28  1.013E+04  3.973E+00  1.012E-08  3.228E-01  3.674E-76  r 99.9
    7  2.109E+09  6.655E-02  1.024E-12  2.841E+28  1.016E+04  7.033E+00  3.239E-08  7.581E-01  1.393E-75  r 99.9
    8  2.107E+09  2.743E-01  2.398E-12  2.841E+28  1.041E+04  1.680E+01  1.012E-07  1.692E+00  1.476E-74  r 35.1
    9  2.105E+09  1.191E+00  6.340E-12  2.841E+28  1.146E+04  4.494E+01  2.685E-07  2.579E+00  6.106E-72  r  9.2
   10  2.103E+09  3.514E+00  1.562E-11  2.841E+28  1.346E+04  1.114E+02  5.740E-07  2.608E+00  4.584E-68  r  5.0
   11  2.101E+09  7.881E+00  3.403E-11  2.841E+28  1.584E+04  2.439E+02  1.074E-06  2.438E+00  1.358E-64  r  4.3
   12  2.099E+09  1.511E+01  6.676E-11  2.841E+28  1.834E+04  4.804E+02  1.840E-06  2.281E+00  1.056E-61  r  4.2
   13  2.097E+09  2.624E+01  1.206E-10  2.841E+28  2.087E+04  8.711E+02  2.945E-06  2.134E+00  3.088E-59  r  4.3
   14  2.094E+09  4.244E+01  2.042E-10  2.841E+28  2.343E+04  1.480E+03  4.475E-06  2.008E+00  4.104E-57  r  4.3
   15  2.092E+09  6.509E+01  3.280E-10  2.841E+28  2.600E+04  2.385E+03  6.521E-06  1.897E+00  2.957E-55  r  4.4
   16  2.090E+09  9.576E+01  5.048E-10  2.841E+28  2.859E+04  3.683E+03  9.184E-06  1.799E+00  1.303E-53  r  4.4
   17  2.088E+09  1.361E+02  7.494E-10  2.841E+28  3.119E+04  5.486E+03  1.257E-05  1.713E+00  3.841E-52  r  4.4
   18  2.086E+09  1.882E+02  1.079E-09  2.841E+28  3.380E+04  7.928E+03  1.680E-05  1.637E+00  8.122E-51  r  4.5
   19  2.084E+09  2.539E+02  1.514E-09  2.841E+28  3.641E+04  1.116E+04  2.199E-05  1.568E+00  1.299E-49  r  4.5
   20  2.082E+09  3.357E+02  2.077E-09  2.841E+28  3.904E+04  1.536E+04  2.828E-05  1.506E+00  1.638E-48  r  4.5
   21  2.080E+09  4.360E+02  2.794E-09  2.841E+28  4.168E+04  2.073E+04  3.580E-05  1.450E+00  1.685E-47  r  4.5
   22  2.077E+09  5.575E+02  3.693E-09  2.841E+28  4.432E+04  2.749E+04  4.470E-05  1.399E+00  1.452E-46  r  4.5
   23  2.075E+09  7.030E+02  4.805E-09  2.841E+28  4.698E+04  3.590E+04  5.514E-05  1.353E+00  1.073E-45  r  4.5
   24  2.073E+09  8.757E+02  6.167E-09  2.841E+28  4.964E+04  4.623E+04  6.727E-05  1.310E+00  6.917E-45  r  4.5
   25  2.071E+09  1.079E+03  7.817E-09  2.841E+28  5.231E+04  5.879E+04  8.126E-05  1.271E+00  3.955E-44  r  4.5
   26  2.069E+09  1.316E+03  9.796E-09  2.841E+28  5.499E+04  7.393E+04  9.730E-05  1.234E+00  2.032E-43  r  4.5
   27  2.067E+09  1.590E+03  1.215E-08  2.841E+28  5.768E+04  9.202E+04  1.156E-04  1.200E+00  9.483E-43  r  4.5
   28  2.065E+09  1.906E+03  1.493E-08  2.841E+28  6.037E+04  1.135E+05  1.362E-04  1.169E+00  4.059E-42  r  4.5
   29  2.063E+09  2.268E+03  1.819E-08  2.841E+28  6.308E+04  1.387E+05  1.595E-04  1.139E+00  1.607E-41  r  4.5
   30  2.061E+09  2.680E+03  2.199E-08  2.841E+28  6.579E+04  1.682E+05  1.857E-04  1.111E+00  5.925E-41  r  4.6
   31  2.058E+09  3.146E+03  2.639E-08  2.841E+28  6.850E+04  2.026E+05  2.148E-04  1.085E+00  2.048E-40  r  4.6
   32  2.056E+09  3.672E+03  3.145E-08  2.841E+28  7.123E+04  2.423E+05  2.472E-04  1.061E+00  6.672E-40  r  4.6
   33  2.054E+09  4.262E+03  3.725E-08  2.841E+28  7.396E+04  2.879E+05  2.831E-04  1.038E+00  2.059E-39  r  4.6
   34  2.052E+09  4.921E+03  4.387E-08  2.841E+28  7.670E+04  3.402E+05  3.228E-04  1.016E+00  6.043E-39  r  4.6
   35  2.050E+09  5.656E+03  5.138E-08  2.841E+28  7.945E+04  3.998E+05  3.664E-04  9.952E-01  1.694E-38  r  4.6
   36  2.048E+09  6.472E+03  5.986E-08  2.841E+28  8.220E+04  4.674E+05  4.143E-04  9.756E-01  4.548E-38  r  4.6
   37  2.046E+09  7.375E+03  6.942E-08  2.841E+28  8.497E+04  5.439E+05  4.666E-04  9.569E-01  1.174E-37  r  4.6
   38  2.044E+09  8.370E+03  8.015E-08  2.841E+28  8.774E+04  6.301E+05  5.237E-04  9.392E-01  2.920E-37  r  4.6
   39  2.041E+09  9.465E+03  9.214E-08  2.841E+28  9.051E+04  7.269E+05  5.859E-04  9.222E-01  7.019E-37  r  4.6
   40  2.039E+09  1.067E+04  1.055E-07  2.841E+28  9.329E+04  8.352E+05  6.533E-04  9.061E-01  1.634E-36  r  4.6
   41  2.037E+09  1.198E+04  1.204E-07  2.841E+28  9.608E+04  9.560E+05  7.264E-04  8.906E-01  3.690E-36  r  4.6
   42  2.035E+09  1.342E+04  1.368E-07  2.841E+28  9.888E+04  1.090E+06  8.054E-04  8.759E-01  8.103E-36  r  4.6
   43  2.033E+09  1.498E+04  1.550E-07  2.841E+28  1.017E+05  1.240E+06  8.907E-04  8.617E-01  1.733E-35  r  4.6
   44  2.031E+09  1.668E+04  1.750E-07  2.841E+28  1.045E+05  1.405E+06  9.825E-04  8.481E-01  3.614E-35  r  4.6
   45  2.029E+09  1.852E+04  1.971E-07  2.841E+28  1.073E+05  1.587E+06  1.081E-03  8.351E-01  7.364E-35  r  4.6
   46  2.027E+09  2.051E+04  2.212E-07  2.841E+28  1.101E+05  1.788E+06  1.187E-03  8.225E-01  1.467E-34  r  4.6
   47  2.024E+09  2.267E+04  2.477E-07  2.841E+28  1.130E+05  2.008E+06  1.301E-03  8.105E-01  2.864E-34  r  4.6
   48  2.022E+09  2.499E+04  2.766E-07  2.841E+28  1.158E+05  2.251E+06  1.422E-03  7.989E-01  5.479E-34  r  4.6
   49  2.020E+09  2.749E+04  3.080E-07  2.841E+28  1.187E+05  2.515E+06  1.552E-03  7.877E-01  1.029E-33  r  4.6
   50  2.018E+09  3.018E+04  3.423E-07  2.841E+28  1.215E+05  2.805E+06  1.690E-03  7.769E-01  1.898E-33  r  4.6
   51  2.016E+09  3.307E+04  3.795E-07  2.841E+28  1.244E+05  3.120E+06  1.838E-03  7.665E-01  3.441E-33  r  4.6
   52  2.014E+09  3.617E+04  4.198E-07  2.841E+28  1.272E+05  3.464E+06  1.994E-03  7.564E-01  6.141E-33  r  4.6
   53  2.012E+09  3.948E+04  4.634E-07  2.841E+28  1.301E+05  3.837E+06  2.161E-03  7.466E-01  1.079E-32  r  4.6
   54  2.010E+09  4.302E+04  5.106E-07  2.841E+28  1.330E+05  4.242E+06  2.338E-03  7.372E-01  1.869E-32  r  4.6
   55  2.007E+09  4.680E+04  5.614E-07  2.841E+28  1.359E+05  4.681E+06  2.526E-03  7.281E-01  3.193E-32  r  4.6
   56  2.005E+09  5.083E+04  6.162E-07  2.841E+28  1.388E+05  5.156E+06  2.724E-03  7.193E-01  5.382E-32  r  4.6
   57  2.003E+09  5.512E+04  6.751E-07  2.841E+28  1.417E+05  5.669E+06  2.935E-03  7.107E-01  8.957E-32  r  4.6
   58  2.001E+09  5.969E+04  7.384E-07  2.841E+28  1.446E+05  6.222E+06  3.157E-03  7.024E-01  1.473E-31  r  4.6
   59  1.999E+09  6.454E+04  8.063E-07  2.841E+28  1.475E+05  6.818E+06  3.392E-03  6.943E-01  2.393E-31  r  4.6
   60  1.997E+09  6.969E+04  8.790E-07  2.841E+28  1.504E+05  7.459E+06  3.639E-03  6.865E-01  3.846E-31  r  4.6
   61  1.995E+09  7.515E+04  9.569E-07  2.841E+28  1.534E+05  8.148E+06  3.900E-03  6.789E-01  6.115E-31  r  4.6
   62  1.993E+09  8.094E+04  1.040E-06  2.841E+28  1.563E+05  8.887E+06  4.175E-03  6.715E-01  9.624E-31  r  4.6
