 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  5.403E+11  0.000E+00  0.000E+00  3.455E+31  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  5.397E+11  1.715E-06  2.032E-14  3.455E+31  5.013E+01  1.597E-10  2.379E-16  2.669E+01  0.000E+00  r  1.0
    2  5.397E+11  4.162E-06  6.639E-14  3.455E+31  1.355E+02  1.704E-09  1.018E-15  2.660E+00  7.570-300  c  1.8
    3  5.392E+11  9.679E-06  2.065E-13  3.455E+31  1.979E+02  6.410E-09  3.172E-15  5.585E+00  4.850-295  r 24.4
    4  5.387E+11  1.891E-05  5.278E-13  3.455E+31  2.510E+02  1.723E-08  6.025E-15  2.730E+00  1.294-263  r 43.2
    5  5.381E+11  2.893E-05  1.210E-12  3.455E+31  2.666E+02  4.029E-08  1.146E-14  1.803E+00  4.427-242  r 16.1
    6  5.376E+11  4.754E-05  2.600E-12  3.455E+31  2.921E+02  8.744E-08  2.255E-14  2.138E+00  6.197-234  r  7.9
    7  5.370E+11  8.404E-05  5.182E-12  3.455E+31  3.299E+02  1.754E-07  3.988E-14  2.179E+00  1.012-224  r  5.3
    8  5.365E+11  1.441E-04  9.545E-12  3.455E+31  3.736E+02  3.246E-07  6.502E-14  2.083E+00  6.629-216  r  4.6
    9  5.360E+11  2.340E-04  1.643E-11  3.455E+31  4.194E+02  5.609E-07  1.000E-13  1.971E+00  3.848-208  r  4.5
   10  5.354E+11  3.612E-04  2.673E-11  3.455E+31  4.660E+02  9.160E-07  1.469E-13  1.864E+00  2.550-201  r  4.4
   11  5.349E+11  5.346E-04  4.154E-11  3.455E+31  5.131E+02  1.429E-06  2.081E-13  1.767E+00  2.708-195  r  4.4
   12  5.343E+11  7.638E-04  6.213E-11  3.455E+31  5.603E+02  2.144E-06  2.860E-13  1.680E+00  6.324-190  r  4.5
   13  5.338E+11  1.060E-03  9.000E-11  3.455E+31  6.077E+02  3.117E-06  3.833E-13  1.603E+00  4.198-185  r  4.5
   14  5.333E+11  1.434E-03  1.268E-10  3.455E+31  6.553E+02  4.408E-06  5.027E-13  1.534E+00  9.709-181  r  4.5
   15  5.327E+11  1.899E-03  1.746E-10  3.455E+31  7.029E+02  6.087E-06  6.471E-13  1.472E+00  9.197-177  r  4.5
   16  5.322E+11  2.470E-03  2.354E-10  3.455E+31  7.506E+02  8.236E-06  8.198E-13  1.416E+00  4.062-173  r  4.5
   17  5.316E+11  3.161E-03  3.117E-10  3.455E+31  7.984E+02  1.094E-05  1.024E-12  1.365E+00  9.286-170  r  4.5
   18  5.311E+11  3.988E-03  4.063E-10  3.455E+31  8.464E+02  1.431E-05  1.263E-12  1.318E+00  1.197-166  r  4.5
   19  5.306E+11  4.969E-03  5.219E-10  3.455E+31  8.944E+02  1.845E-05  1.541E-12  1.275E+00  9.342-164  r  4.5
   20  5.300E+11  6.121E-03  6.620E-10  3.455E+31  9.425E+02  2.347E-05  1.861E-12  1.236E+00  4.679-161  r  4.5
   21  5.295E+11  7.464E-03  8.301E-10  3.455E+31  9.907E+02  2.953E-05  2.227E-12  1.200E+00  1.581-158  r  4.6
   22  5.289E+11  9.018E-03  1.030E-09  3.455E+31  1.039E+03  3.677E-05  2.643E-12  1.166E+00  3.759-156  r  4.6
   23  5.284E+11  1.081E-02  1.266E-09  3.455E+31  1.087E+03  4.534E-05  3.114E-12  1.135E+00  6.516-154  r  4.6
   24  5.279E+11  1.285E-02  1.542E-09  3.455E+31  1.136E+03  5.542E-05  3.644E-12  1.106E+00  8.497-152  r  4.6
   25  5.273E+11  1.517E-02  1.864E-09  3.455E+31  1.185E+03  6.720E-05  4.238E-12  1.078E+00  8.559-150  r  4.6
   26  5.268E+11  1.780E-02  2.236E-09  3.455E+31  1.233E+03  8.089E-05  4.899E-12  1.053E+00  6.817-148  r  4.6
   27  5.262E+11  2.076E-02  2.664E-09  3.455E+31  1.282E+03  9.671E-05  5.634E-12  1.029E+00  4.382-146  r  4.6
   28  5.257E+11  2.407E-02  3.154E-09  3.455E+31  1.331E+03  1.149E-04  6.447E-12  1.006E+00  2.315-144  r  4.6
