                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.50000 solar
                                             L    =     9.10000 solar
                                             R    =     1.34714 solar
                                             Teff =  8644.60000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  9.369E+08  0.000E+00  0.000E+00  3.493E+27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  9.360E+08  3.926E-02  3.242E-14  3.493E+27  3.738E+03  5.187E-01  9.381E-09  8.934E+00  1.197-102  r  1.0
    2  9.360E+08  7.861E-02  6.317E-14  3.493E+27  1.011E+04  2.417E+00  1.753E-09  1.056E-01  5.625E-77  c  1.5
    3  9.351E+08  8.126E-02  1.252E-13  3.493E+27  1.649E+04  6.274E+00  3.258E-08  1.679E-01  1.254E-65  c  2.1
    4  9.341E+08  9.217E-02  2.689E-13  3.493E+27  1.968E+04  1.521E+01  6.608E-08  2.697E-01  2.547E-65  r 99.9
    5  9.332E+08  1.164E-01  5.849E-13  3.493E+27  1.968E+04  3.493E+01  1.326E-07  2.554E-01  9.274E-62  r 99.9
    6  9.323E+08  1.492E-01  7.953E-13  3.493E+27  1.969E+04  4.814E+01  1.377E-07  2.621E-01  9.641E-62  r 99.9
    7  9.313E+08  1.763E-01  1.129E-12  3.493E+27  1.969E+04  6.914E+01  1.023E-07  2.137E-01  7.217E-62  r 99.9
    8  9.304E+08  2.398E-01  1.731E-12  3.493E+27  1.970E+04  1.073E+02  2.688E-07  4.229E-01  1.930E-61  r 99.9
    9  9.295E+08  5.099E-01  3.118E-12  3.493E+27  1.973E+04  1.953E+02  6.008E-07  7.705E-01  4.605E-61  r 99.9
   10  9.285E+08  1.617E+00  6.231E-12  3.493E+27  1.986E+04  3.937E+02  1.348E-06  1.409E+00  1.352E-60  r 99.9
   11  9.276E+08  5.791E+00  1.310E-11  3.493E+27  2.034E+04  8.334E+02  2.934E-06  2.389E+00  7.909E-60  r 29.9
   12  9.266E+08  1.827E+01  2.747E-11  3.493E+27  2.168E+04  1.757E+03  5.913E-06  3.319E+00  2.207E-58  r 11.0
   13  9.257E+08  4.580E+01  5.478E-11  3.493E+27  2.409E+04  3.519E+03  1.071E-05  3.657E+00  2.692E-56  r  6.2
   14  9.248E+08  9.387E+01  1.018E-10  3.493E+27  2.715E+04  6.567E+03  1.773E-05  3.580E+00  4.276E-54  r  4.9
