                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     2.06300 solar
                                             L    =    25.40000 solar
                                             R    =     1.70226 solar
                                             Teff =  9940.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  1.184E+09  0.000E+00  0.000E+00  9.751E+27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  1.183E+09  2.973E-02  4.208E-14  9.751E+27  4.068E+03  5.220E-01  8.313E-09  6.040E+00  4.316-100  r  1.0
    2  1.183E+09  6.122E-02  7.783E-14  9.751E+27  1.100E+04  2.163E+00  1.113E-08  2.675E-01  2.624E-74  c  1.1
    3  1.182E+09  6.525E-02  1.794E-13  9.751E+27  1.794E+04  6.840E+00  3.016E-08  1.275E-01  4.430E-64  c  2.3
    4  1.180E+09  7.565E-02  3.855E-13  9.751E+27  2.142E+04  1.636E+01  6.579E-08  2.086E-01  9.681E-64  r 99.9
    5  1.179E+09  9.907E-02  8.442E-13  9.751E+27  2.143E+04  3.762E+01  1.311E-07  1.971E-01  2.834E-60  r 99.9
    6  1.178E+09  1.331E-01  1.422E-12  9.751E+27  2.143E+04  6.452E+01  1.482E-07  2.138E-01  3.208E-60  r 99.9
    7  1.177E+09  1.624E-01  1.934E-12  9.751E+27  2.143E+04  8.844E+01  1.047E-07  1.700E-01  2.301E-60  r 99.9
    8  1.176E+09  2.272E-01  2.847E-12  9.751E+27  2.145E+04  1.312E+02  2.776E-07  3.303E-01  6.239E-60  r 99.9
    9  1.174E+09  4.988E-01  4.945E-12  9.751E+27  2.149E+04  2.301E+02  6.189E-07  5.931E-01  1.506E-59  r 99.9
   10  1.173E+09  1.591E+00  9.638E-12  9.751E+27  2.166E+04  4.520E+02  1.382E-06  1.069E+00  4.634E-59  r 82.0
   11  1.172E+09  5.570E+00  1.991E-11  9.751E+27  2.228E+04  9.399E+02  2.974E-06  1.764E+00  3.094E-58  r 24.8
   12  1.171E+09  1.689E+01  4.107E-11  9.751E+27  2.390E+04  1.949E+03  5.883E-06  2.358E+00  9.987E-57  r  9.8
   13  1.170E+09  4.080E+01  8.056E-11  9.751E+27  2.663E+04  3.839E+03  1.046E-05  2.535E+00  1.159E-54  r  5.9
   14  1.169E+09  8.147E+01  1.476E-10  9.751E+27  2.999E+04  7.059E+03  1.710E-05  2.467E+00  1.496E-52  r  4.8
   15  1.167E+09  1.431E+02  2.534E-10  9.751E+27  3.361E+04  1.217E+04  2.635E-05  2.349E+00  1.191E-50  r  4.5
   16  1.166E+09  2.309E+02  4.123E-10  9.751E+27  3.733E+04  1.986E+04  3.878E-05  2.228E+00  5.752E-49  r  4.4
   17  1.165E+09  3.510E+02  6.410E-10  9.751E+27  4.111E+04  3.099E+04  5.503E-05  2.116E+00  1.798E-47  r  4.4
   18  1.164E+09  5.102E+02  9.597E-10  9.751E+27  4.490E+04  4.656E+04  7.577E-05  2.014E+00  3.902E-46  r  4.4
   19  1.163E+09  7.163E+02  1.392E-09  9.751E+27  4.872E+04  6.774E+04  1.017E-04  1.923E+00  6.236E-45  r  4.5
